Frequency,Channel A
(kHz),(dBu)

29.18243408,-49.59781000
29.27780151,-51.79186000
29.37316895,-50.43821000
29.46853638,-50.58627000
29.56390381,-52.07134000
29.65927124,-54.27142000
29.75463867,-51.65652000
29.85000610,-51.18171000
29.94537354,-47.51909000
30.04074097,-50.90613000
30.13610840,-54.14454000
30.23147583,-51.97971000
30.32684326,-51.84363000
30.42221069,-51.46957000
30.51757813,-49.22235000
30.61294556,-56.60663000
30.70831299,-49.83295000
30.80368042,-49.02371000
30.89904785,-56.45743000
30.99441528,-49.21244000
31.08978271,-51.77186000
31.18515015,-52.36483000
31.28051758,-51.16864000
31.37588501,-52.83164000
31.47125244,-52.10735000
31.56661987,-49.70879000
31.66198730,-53.70313000
31.75735474,-51.19950000
31.85272217,-54.70252000
31.94808960,-50.73741000
32.04345703,-49.86068000
32.13882446,-53.69223000
32.23419189,-51.96996000
32.32955933,-51.01403000
32.42492676,-56.82934000
32.52029419,-51.01007000
32.61566162,-49.85074000
32.71102905,-53.41795000
32.80639648,-50.38773000
32.90176392,-52.32325000
32.99713135,-55.81678000
33.09249878,-53.83236000
33.18786621,-51.46545000
33.28323364,-51.25345000
33.37860107,-49.98177000
33.47396851,-55.67934000
33.56933594,-50.08631000
33.66470337,-47.64626000
33.76007080,-59.25999000
33.85543823,-51.28320000
33.95080566,-50.06853000
34.04617310,-52.06821000
34.14154053,-51.57280000
34.23690796,-55.07973000
34.33227539,-51.01864000
34.42764282,-54.25766000
34.52301025,-51.27779000
34.61837769,-54.12775000
34.71374512,-52.53944000
34.80911255,-55.79295000
34.90447998,-49.64634000
34.99984741,-50.24819000
35.09521484,-52.99935000
35.19058228,-58.71169000
35.28594971,-51.58150000
35.38131714,-50.17391000
35.47668457,-52.38629000
35.57205200,-58.46926000
35.66741943,-51.21302000
35.76278687,-52.10932000
35.85815430,-53.48827000
35.95352173,-51.57442000
36.04888916,-52.46563000
36.14425659,-51.42658000
36.23962402,-54.10613000
36.33499146,-53.42999000
36.43035889,-51.11576000
36.52572632,-53.79030000
36.62109375,-51.96268000
36.71646118,-54.73117000
36.81182861,-57.19389000
36.90719604,-49.91670000
37.00256348,-53.40218000
37.09793091,-52.70853000
37.19329834,-52.48169000
37.28866577,-56.72033000
37.38403320,-50.12894000
37.47940063,-52.20567000
37.57476807,-59.46902000
37.67013550,-52.14640000
37.76550293,-52.24029000
37.86087036,-56.55367000
37.95623779,-54.58934000
38.05160522,-50.02082000
38.14697266,-50.81387000
38.24234009,-56.01159000
38.33770752,-54.27922000
38.43307495,-54.68870000
38.52844238,-54.67075000
38.62380981,-50.65457000
38.71917725,-51.28793000
38.81454468,-54.97077000
38.90991211,-51.79795000
39.00527954,-53.67717000
39.10064697,-59.09025000
39.19601440,-51.82210000
39.29138184,-54.06097000
39.38674927,-52.45941000
39.48211670,-54.05375000
39.57748413,-54.12896000
39.67285156,-54.80343000
39.76821899,-52.47656000
39.86358643,-56.58130000
39.95895386,-50.67854000
40.05432129,-52.96980000
40.14968872,-54.51988000
40.24505615,-56.94402000
40.34042358,-56.50508000
40.43579102,-52.44049000
40.53115845,-50.07970000
40.62652588,-52.72787000
40.72189331,-54.46397000
40.81726074,-54.08295000
40.91262817,-57.20213000
41.00799561,-51.37364000
41.10336304,-52.68627000
41.19873047,-60.12842000
41.29409790,-52.01030000
41.38946533,-54.74255000
41.48483276,-56.65315000
41.58020020,-56.29566000
41.67556763,-52.47998000
41.77093506,-53.00062000
41.86630249,-54.07954000
41.96166992,-56.78348000
42.05703735,-53.88604000
42.15240479,-53.87577000
42.24777222,-54.46270000
42.34313965,-52.29671000
42.43850708,-53.90099000
42.53387451,-59.30277000
42.62924194,-55.01804000
42.72460938,-52.64592000
42.81997681,-50.98911000
42.91534424,-61.69576000
43.01071167,-51.60907000
43.10607910,-53.13845000
43.20144653,-61.13038000
43.29681396,-56.52937000
43.39218140,-53.98660000
43.48754883,-55.61308000
43.58291626,-55.38332000
43.67828369,-54.91992000
43.77365112,-54.72442000
43.86901855,-52.19312000
43.96438599,-57.51122000
44.05975342,-51.72334000
44.15512085,-54.07784000
44.25048828,-54.12241000
44.34585571,-53.81954000
44.44122314,-52.68631000
44.53659058,-56.11053000
44.63195801,-58.85118000
44.72732544,-56.53676000
44.82269287,-53.39619000
44.91806030,-52.34482000
45.01342773,-48.70415000
45.10879517,-52.26575000
45.20416260,-57.67216000
45.29953003,-58.85379000
45.39489746,-56.22781000
45.49026489,-54.75433000
45.58563232,-51.46669000
45.68099976,-53.73291000
45.77636719,-58.13588000
45.87173462,-51.75084000
45.96710205,-54.50273000
46.06246948,-55.05566000
46.15783691,-54.83509000
46.25320435,-56.00975000
46.34857178,-58.10784000
46.44393921,-52.21277000
46.53930664,-55.47707000
46.63467407,-55.36394000
46.73004150,-57.34631000
46.82540894,-51.99915000
46.92077637,-55.03692000
47.01614380,-56.50013000
47.11151123,-53.19590000
47.20687866,-55.66539000
47.30224609,-55.31358000
47.39761353,-58.65738000
47.49298096,-54.96036000
47.58834839,-57.47300000
47.68371582,-52.54676000
47.77908325,-53.48042000
47.87445068,-59.59961000
47.96981812,-54.30925000
48.06518555,-56.17140000
48.16055298,-51.55789000
48.25592041,-54.11915000
48.35128784,-59.26455000
48.44665527,-53.15524000
48.54202271,-66.64682000
48.63739014,-51.88536000
48.73275757,-52.80306000
48.82812500,-54.58353000
48.92349243,-53.28792000
49.01885986,-52.93102000
49.11422729,-55.74247000
49.20959473,-55.86012000
49.30496216,-57.82002000
49.40032959,-56.65532000
49.49569702,-54.29233000
49.59106445,-53.33482000
49.68643188,-56.12753000
49.78179932,-59.11414000
49.87716675,-54.99020000
49.97253418,-57.96400000
50.06790161,-52.44217000
50.16326904,-52.72206000
50.25863647,-61.44764000
50.35400391,-55.64717000
50.44937134,-55.18551000
50.54473877,-59.86328000
50.64010620,-52.82920000
50.73547363,-55.36266000
50.83084106,-57.60601000
50.92620850,-57.82649000
51.02157593,-57.30633000
51.11694336,-53.85652000
51.21231079,-56.98427000
51.30767822,-59.15460000
51.40304565,-52.95687000
51.49841309,-51.09406000
51.59378052,-60.67438000
51.68914795,-56.91023000
51.78451538,-57.86842000
51.87988281,-54.03625000
51.97525024,-54.12793000
52.07061768,-54.90353000
52.16598511,-55.51427000
52.26135254,-53.66130000
52.35671997,-65.33805000
52.45208740,-52.42806000
52.54745483,-54.97789000
52.64282227,-54.96493000
52.73818970,-57.06424000
52.83355713,-52.64035000
52.92892456,-62.50648000
53.02429199,-51.74603000
53.11965942,-59.01917000
53.21502686,-55.91034000
53.31039429,-52.73065000
53.40576172,-59.90945000
53.50112915,-57.15812000
53.59649658,-54.78764000
53.69186401,-54.98825000
53.78723145,-55.55584000
53.88259888,-57.01946000
53.97796631,-56.82812000
54.07333374,-55.17620000
54.16870117,-54.10918000
54.26406860,-54.59785000
54.35943604,-53.91180000
54.45480347,-70.74211000
54.55017090,-54.03038000
54.64553833,-54.73220000
54.74090576,-54.54975000
54.83627319,-59.49672000
54.93164063,-55.61055000
55.02700806,-56.86304000
55.12237549,-58.45504000
55.21774292,-53.66459000
55.31311035,-55.06054000
55.40847778,-55.97116000
55.50384521,-59.69153000
55.59921265,-52.11047000
55.69458008,-55.02702000
55.78994751,-57.44794000
55.88531494,-56.77347000
55.98068237,-56.04241000
56.07604980,-58.07970000
56.17141724,-52.03350000
56.26678467,-56.33316000
56.36215210,-59.48039000
56.45751953,-52.34125000
56.55288696,-54.73829000
56.64825439,-53.31412000
56.74362183,-65.46274000
56.83898926,-57.50587000
56.93435669,-55.93298000
57.02972412,-55.23787000
57.12509155,-51.45369000
57.22045898,-58.03625000
57.31582642,-70.29347000
57.41119385,-53.96330000
57.50656128,-52.06438000
57.60192871,-60.11879000
57.69729614,-54.11612000
57.79266357,-55.77431000
57.88803101,-59.40223000
57.98339844,-56.16087000
58.07876587,-56.95576000
58.17413330,-58.90045000
58.26950073,-53.30825000
58.36486816,-54.80997000
58.46023560,-62.26001000
58.55560303,-59.16922000
58.65097046,-54.67438000
58.74633789,-51.67598000
58.84170532,-68.36517000
58.93707275,-57.03112000
59.03244019,-58.63363000
59.12780762,-51.49162000
59.22317505,-54.10843000
59.31854248,-59.46909000
59.41390991,-57.44325000
59.50927734,-55.01247000
59.60464478,-66.55967000
59.70001221,-54.68658000
59.79537964,-53.49855000
59.89074707,-58.46195000
59.98611450,-56.17552000
60.08148193,-69.51753000
60.17684937,-54.77470000
60.27221680,-55.83736000
60.36758423,-54.40591000
60.46295166,-72.67256000
60.55831909,-54.38395000
60.65368652,-57.82837000
60.74905396,-55.69973000
60.84442139,-57.59426000
60.93978882,-57.19011000
61.03515625,-57.26337000
61.13052368,-57.32323000
61.22589111,-53.41561000
61.32125854,-57.72476000
61.41662598,-60.11807000
61.51199341,-65.71031000
61.60736084,-54.01457000
61.70272827,-54.36470000
61.79809570,-53.46111000
61.89346313,-54.21318000
61.98883057,-61.88827000
62.08419800,-56.57671000
62.17956543,-56.26684000
62.27493286,-55.71444000
62.37030029,-53.18971000
62.46566772,-57.88958000
62.56103516,-59.70436000
62.65640259,-51.42514000
62.75177002,-57.76955000
62.84713745,-57.34083000
62.94250488,-53.68755000
63.03787231,-62.49909000
63.13323975,-56.56984000
63.22860718,-55.27765000
63.32397461,-53.34529000
63.41934204,-55.71248000
63.51470947,-55.70287000
63.61007690,-56.40430000
63.70544434,-51.24388000
63.80081177,-53.78243000
63.89617920,-61.73195000
63.99154663,-53.23201000
64.08691406,-53.96747000
64.18228149,-59.99935000
64.27764893,-61.29642000
64.37301636,-57.94904000
64.46838379,-54.10725000
64.56375122,-61.62397000
64.65911865,-56.32729000
64.75448608,-54.95150000
64.84985352,-59.92375000
64.94522095,-54.08264000
65.04058838,-53.63557000
65.13595581,-60.90947000
65.23132324,-57.03943000
65.32669067,-54.27803000
65.42205811,-64.03695000
65.51742554,-53.68742000
65.61279297,-55.65990000
65.70816040,-60.95502000
65.80352783,-54.02349000
65.89889526,-55.77279000
65.99426270,-65.73643000
66.08963013,-57.09953000
66.18499756,-58.16854000
66.28036499,-54.99315000
66.37573242,-56.70000000
66.47109985,-60.67515000
66.56646729,-59.86729000
66.66183472,-53.28988000
66.75720215,-53.56823000
66.85256958,-56.29086000
66.94793701,-57.03579000
67.04330444,-62.07234000
67.13867188,-58.05080000
67.23403931,-57.62556000
67.32940674,-60.83841000
67.42477417,-58.24026000
67.52014160,-54.38708000
67.61550903,-54.75823000
67.71087646,-61.03989000
67.80624390,-60.24387000
67.90161133,-54.77684000
67.99697876,-53.55600000
68.09234619,-65.67671000
68.18771362,-60.28569000
68.28308105,-58.17817000
68.37844849,-53.17345000
68.47381592,-55.93738000
68.56918335,-62.22918000
68.66455078,-62.88923000
68.75991821,-55.19640000
68.85528564,-58.63751000
68.95065308,-54.56870000
69.04602051,-56.41476000
69.14138794,-57.31894000
69.23675537,-65.83188000
69.33212280,-58.42220000
69.42749023,-67.19400000
69.52285767,-53.21009000
69.61822510,-56.75835000
69.71359253,-61.79421000
69.80895996,-58.71643000
69.90432739,-52.92990000
69.99969482,-59.14930000
70.09506226,-70.06120000
70.19042969,-56.43917000
70.28579712,-53.92274000
70.38116455,-53.36226000
70.47653198,-55.69159000
70.57189941,-54.91602000
70.66726685,-57.01796000
70.76263428,-63.83520000
70.85800171,-58.49001000
70.95336914,-59.81278000
71.04873657,-58.00837000
71.14410400,-57.97298000
71.23947144,-59.08092000
71.33483887,-51.16325000
71.43020630,-55.15692000
71.52557373,-63.30324000
71.62094116,-56.17662000
71.71630859,-50.45646000
71.81167603,-55.04768000
71.90704346,-58.96893000
72.00241089,-56.88425000
72.09777832,-57.41293000
72.19314575,-51.42091000
72.28851318,-57.11260000
72.38388062,-64.66103000
72.47924805,-54.00046000
72.57461548,-56.19289000
72.66998291,-69.23550000
72.76535034,-55.66842000
72.86071777,-54.64351000
72.95608521,-66.54517000
73.05145264,-57.77015000
73.14682007,-58.43681000
73.24218750,-62.20276000
73.33755493,-57.23480000
73.43292236,-55.34495000
73.52828979,-60.31461000
73.62365723,-61.50880000
73.71902466,-54.05186000
73.81439209,-55.03134000
73.90975952,-58.76117000
74.00512695,-57.06655000
74.10049438,-61.97158000
74.19586182,-52.98519000
74.29122925,-54.95386000
74.38659668,-58.45725000
74.48196411,-54.80346000
74.57733154,-65.17722000
74.67269897,-55.70189000
74.76806641,-53.69389000
74.86343384,-56.49285000
74.95880127,-70.76605000
75.05416870,-54.40380000
75.14953613,-53.66276000
75.24490356,-77.92574000
75.34027100,-55.14553000
75.43563843,-63.94614000
75.53100586,-56.52095000
75.62637329,-54.56669000
75.72174072,-55.70893000
75.81710815,-62.48912000
75.91247559,-57.41411000
76.00784302,-57.91225000
76.10321045,-63.89892000
76.19857788,-55.23691000
76.29394531,-54.03460000
76.38931274,-58.69731000
76.48468018,-54.80057000
76.58004761,-64.07313000
76.67541504,-56.78144000
76.77078247,-54.24496000
76.86614990,-60.39516000
76.96151733,-54.06351000
77.05688477,-54.64225000
77.15225220,-66.11682000
77.24761963,-58.04465000
77.34298706,-57.17726000
77.43835449,-54.87852000
77.53372192,-59.15638000
77.62908936,-54.51982000
77.72445679,-56.22815000
77.81982422,-56.55400000
77.91519165,-74.05380000
78.01055908,-56.87782000
78.10592651,-57.75099000
78.20129395,-58.17031000
78.29666138,-53.94062000
78.39202881,-59.08375000
78.48739624,-58.92804000
78.58276367,-52.69506000
78.67813110,-55.16573000
78.77349854,-62.07493000
78.86886597,-53.29586000
78.96423340,-56.59952000
79.05960083,-57.87979000
79.15496826,-62.42038000
79.25033569,-60.07634000
79.34570313,-57.29597000
79.44107056,-58.15367000
79.53643799,-57.18991000
79.63180542,-58.69121000
79.72717285,-56.52334000
79.82254028,-53.59903000
79.91790771,-57.92808000
80.01327515,-66.64795000
80.10864258,-65.71132000
80.20401001,-53.97752000
80.29937744,-55.30355000
80.39474487,-56.20830000
80.49011230,-66.32123000
80.58547974,-52.68157000
80.68084717,-52.89067000
80.77621460,-62.73917000
80.87158203,-55.47404000
80.96694946,-60.22580000
81.06231689,-62.24325000
81.15768433,-58.17785000
81.25305176,-58.38797000
81.34841919,-61.07018000
81.44378662,-54.07223000
81.53915405,-53.68736000
81.63452148,-52.04786000
81.72988892,-64.50591000
81.82525635,-53.91557000
81.92062378,-57.21746000
82.01599121,-57.30400000
82.11135864,-60.33518000
82.20672607,-53.56447000
82.30209351,-57.19417000
82.39746094,-53.28635000
82.49282837,-58.10537000
82.58819580,-56.19698000
82.68356323,-69.37206000
82.77893066,-55.93781000
82.87429810,-56.33066000
82.96966553,-55.08313000
83.06503296,-58.32081000
83.16040039,-54.53707000
83.25576782,-70.06992000
83.35113525,-57.93919000
83.44650269,-58.34917000
83.54187012,-53.27851000
83.63723755,-58.20751000
83.73260498,-60.05187000
83.82797241,-52.42656000
83.92333984,-56.62783000
84.01870728,-58.88089000
84.11407471,-53.42895000
84.20944214,-81.32664000
84.30480957,-54.54440000
84.40017700,-57.34009000
84.49554443,-61.29889000
84.59091187,-55.73027000
84.68627930,-59.51093000
84.78164673,-55.68812000
84.87701416,-58.68551000
84.97238159,-57.87123000
85.06774902,-58.40056000
85.16311646,-62.50116000
85.25848389,-55.63882000
85.35385132,-59.66133000
85.44921875,-53.29356000
85.54458618,-54.13785000
85.63995361,-65.88727000
85.73532104,-60.30105000
85.83068848,-55.57307000
85.92605591,-55.96853000
86.02142334,-55.72636000
86.11679077,-52.44056000
86.21215820,-52.42267000
86.30752563,-66.18666000
86.40289307,-55.82938000
86.49826050,-64.09745000
86.59362793,-61.19566000
86.68899536,-55.05453000
86.78436279,-56.35060000
86.87973022,-56.78484000
86.97509766,-52.64647000
87.07046509,-63.09906000
87.16583252,-57.63118000
87.26119995,-56.00749000
87.35656738,-60.38044000
87.45193481,-52.51949000
87.54730225,-52.11629000
87.64266968,-67.18716000
87.73803711,-55.72770000
87.83340454,-63.12218000
87.92877197,-53.09851000
88.02413940,-56.38494000
88.11950684,-61.80910000
88.21487427,-55.49693000
88.31024170,-57.35723000
88.40560913,-56.56363000
88.50097656,-54.02605000
88.59634399,-61.88362000
88.69171143,-57.20201000
88.78707886,-56.32873000
88.88244629,-68.51620000
88.97781372,-53.72990000
89.07318115,-53.31355000
89.16854858,-80.46866000
89.26391602,-53.75586000
89.35928345,-55.54765000
89.45465088,-57.59993000
89.55001831,-56.98827000
89.64538574,-56.94019000
89.74075317,-63.42754000
89.83612061,-58.14011000
89.93148804,-54.04052000
90.02685547,-54.90161000
90.12222290,-61.49091000
90.21759033,-58.53624000
90.31295776,-55.55863000
90.40832520,-58.25031000
90.50369263,-55.33740000
90.59906006,-54.80958000
90.69442749,-66.54688000
90.78979492,-58.23544000
90.88516235,-60.52366000
90.98052979,-53.36307000
91.07589722,-54.00198000
91.17126465,-62.89888000
91.26663208,-59.69851000
91.36199951,-60.13594000
91.45736694,-58.39175000
91.55273438,-54.72661000
91.64810181,-57.27306000
91.74346924,-75.50294000
91.83883667,-54.47944000
91.93420410,-51.97150000
92.02957153,-57.76645000
92.12493896,-55.23552000
92.22030640,-58.65678000
92.31567383,-57.52055000
92.41104126,-55.04237000
92.50640869,-62.35891000
92.60177612,-55.16061000
92.69714355,-61.18122000
92.79251099,-56.17970000
92.88787842,-54.92593000
92.98324585,-55.19141000
93.07861328,-58.75740000
93.17398071,-54.78933000
93.26934814,-55.77358000
93.36471558,-67.87373000
93.46008301,-55.91273000
93.55545044,-55.66860000
93.65081787,-71.27679000
93.74618530,-53.85899000
93.84155273,-53.47079000
93.93692017,-56.76064000
94.03228760,-56.33017000
94.12765503,-57.52617000
94.22302246,-56.14518000
94.31838989,-53.14389000
94.41375732,-67.19104000
94.50912476,-58.37268000
94.60449219,-62.03826000
94.69985962,-56.69473000
94.79522705,-59.25404000
94.89059448,-56.45998000
94.98596191,-59.00172000
95.08132935,-58.00891000
95.17669678,-77.26984000
95.27206421,-53.42800000
95.36743164,-56.48873000
95.46279907,-55.20680000
95.55816650,-55.25852000
95.65353394,-63.53320000
95.74890137,-60.73173000
95.84426880,-58.07496000
95.93963623,-55.82066000
96.03500366,-55.88491000
96.13037109,-57.23768000
96.22573853,-57.32823000
96.32110596,-58.85501000
96.41647339,-61.73965000
96.51184082,-54.55059000
96.60720825,-56.39157000
96.70257568,-51.37355000
96.79794312,-58.82775000
96.89331055,-57.63034000
96.98867798,-65.56828000
97.08404541,-58.03967000
97.17941284,-53.01334000
97.27478027,-57.35504000
97.37014771,-54.16771000
97.46551514,-57.99409000
97.56088257,-57.23082000
97.65625000,-61.16674000
97.75161743,-52.93781000
97.84698486,-61.69938000
97.94235229,-56.18051000
98.03771973,-59.80400000
98.13308716,-58.32221000
98.22845459,-53.49905000
98.32382202,-56.40612000
98.41918945,-55.84224000
98.51455688,-57.19242000
98.60992432,-64.03845000
98.70529175,-53.30765000
98.80065918,-52.79689000
98.89602661,-82.30112000
98.99139404,-55.25177000
99.08676147,-57.28914000
99.18212891,-53.52710000
99.27749634,-54.65519000
99.37286377,-62.07634000
99.46823120,-60.56739000
99.56359863,-53.50004000
99.65896606,-52.68850000
99.75433350,-56.09139000
99.84970093,-61.32666000
99.94506836,-55.88593000
100.04043579,-57.87745000
100.13580322,-55.61161000
100.23117065,-56.98354000
100.32653809,-58.94152000
100.42190552,-55.20896000
100.51727295,-55.36475000
100.61264038,-57.11344000
100.70800781,-60.03102000
100.80337524,-55.72145000
100.89874268,-56.63200000
100.99411011,-57.30177000
101.08947754,-56.65086000
101.18484497,-73.32874000
101.28021240,-53.26974000
101.37557983,-53.05691000
101.47094727,-62.63302000
101.56631470,-56.05558000
101.66168213,-53.65276000
101.75704956,-58.16959000
101.85241699,-56.51876000
101.94778442,-53.55090000
102.04315186,-61.63778000
